"ordinal","reviewClass","lane","riskFlags","id","team","slug","sourceBucket","assetIndex","before","originalParts","proposedParts","reason"
"1","manual","C4A_punct_or_mixed_remaining_review","","ATL-2001-0227","los-angeles-chargers","2001-1st-round-pick-1st-overall-los-angeles-chargers-2001","S1_clean_multi_pick_split_plus_dedupe_candidate","2","Tim Dwight, 2001 1st round pick (5th overall, LaDainian Tomlinson), 2001 3rd round pick (67th overall, Tay Cody) and 2002 2nd round pick (48th overall, Reche Caldwell)","Tim Dwight || 2001 1st round pick (5th overall, LaDainian Tomlinson) || 2001 3rd round pick (67th overall, Tay Cody) and 2002 2nd round pick (48th overall, Reche Caldwell)","Tim Dwight || 2001 1st round pick (5th overall, LaDainian Tomlinson) || 2001 3rd round pick (67th overall, Tay Cody) and 2002 2nd round pick (48th overall, Reche Caldwell)","remaining punct/mixed multi-pick pattern"
"2","manual","C4A_punct_or_mixed_remaining_review","","SEA-2008-04-26-0136","seattle-seahawks","2008-1st-round-pick-28th-overall-lawrence-jackso-dallas-cowboys-2008","S1_clean_multi_pick_split_plus_dedupe_candidate","3","2008 1st round pick (28th overall, Lawrence Jackson), 2008 5th round pick (163rd overall, Owen Schmitt) and 2008 7th round pick (235th overall, Brandon Coutu)","2008 1st round pick (28th overall, Lawrence Jackson) || 2008 5th round pick (163rd overall, Owen Schmitt) and 2008 7th round pick (235th overall, Brandon Coutu)","2008 1st round pick (28th overall, Lawrence Jackson) || 2008 5th round pick (163rd overall, Owen Schmitt) and 2008 7th round pick (235th overall, Brandon Coutu)","remaining punct/mixed multi-pick pattern"
"3","manual","C4A_punct_or_mixed_remaining_review","","WAS-2008-0395","atlanta-falcons","an-undisclosed-2008-draft-pick-2008-2nd-round-pick-34th-overall-devin-thomas-and-2008-4th","S1_clean_multi_pick_split_plus_dedupe_candidate","0","2008 1st round pick (21st overall, Sam Baker), 2008 3rd round pick (84th overall, Harry Douglas) and 2008 5th round pick (154th overall, Kroy Biermann)","2008 1st round pick (21st overall, Sam Baker) || 2008 3rd round pick (84th overall, Harry Douglas) and 2008 5th round pick (154th overall, Kroy Biermann)","2008 1st round pick (21st overall, Sam Baker) || 2008 3rd round pick (84th overall, Harry Douglas) and 2008 5th round pick (154th overall, Kroy Biermann)","remaining punct/mixed multi-pick pattern"
"4","manual","C4A_punct_or_mixed_remaining_review","","SEA-2011-04-29-0156","seattle-seahawks","2011-3rd-round-pick-75th-overall-john-moffitt-detroit-lions-2011","S1_clean_multi_pick_split_plus_dedupe_candidate","4","2011 3rd round pick (75th overall, John Moffitt), 2011 4th round pick (107th overall, Kris Durham), 2011 5th round pick (154th overall, Richard Sherman) and 2011 7th round pick (205th overall, Pep Levingston)","2011 3rd round pick (75th overall, John Moffitt) || 2011 4th round pick (107th overall, Kris Durham) || 2011 5th round pick (154th overall, Richard Sherman) and 2011 7th round pick (205th overall, Pep Levingston)","2011 3rd round pick (75th overall, John Moffitt) || 2011 4th round pick (107th overall, Kris Durham) || 2011 5th round pick (154th overall, Richard Sherman) and 2011 7th round pick (205th overall, Pep Levingston)","remaining punct/mixed multi-pick pattern"
"5","manual","C4A_punct_or_mixed_remaining_review","","SEA-2011-04-29-0156","detroit-lions","2011-3rd-round-pick-75th-overall-john-moffitt-detroit-lions-2011","S1_clean_multi_pick_split_plus_dedupe_candidate","3","2011 2nd round pick (57th overall, Mikel Leshoure), 2011 5th round pick (157th overall, Doug Hogue) and 2011 7th round pick (209th overall, Johnny Culbreath)","2011 2nd round pick (57th overall, Mikel Leshoure) || 2011 5th round pick (157th overall, Doug Hogue) and 2011 7th round pick (209th overall, Johnny Culbreath)","2011 2nd round pick (57th overall, Mikel Leshoure) || 2011 5th round pick (157th overall, Doug Hogue) and 2011 7th round pick (209th overall, Johnny Culbreath)","remaining punct/mixed multi-pick pattern"
"6","manual","C4A_punct_or_mixed_remaining_review","","SEA-2012-04-26-0159","seattle-seahawks","2012-1st-round-pick-15th-overall-bruce-irvin-2-philadelphia-eagles-2012","S1_clean_multi_pick_split_plus_dedupe_candidate","3","2012 1st round pick (15th overall, Bruce Irvin), 2012 4th round pick (114th overall, Jaye Howard) and 2012 6th round pick (172nd overall, Jeremy Lane)","2012 1st round pick (15th overall, Bruce Irvin) || 2012 4th round pick (114th overall, Jaye Howard) and 2012 6th round pick (172nd overall, Jeremy Lane)","2012 1st round pick (15th overall, Bruce Irvin) || 2012 4th round pick (114th overall, Jaye Howard) and 2012 6th round pick (172nd overall, Jeremy Lane)","remaining punct/mixed multi-pick pattern"
"7","manual","C4A_punct_or_mixed_remaining_review","","SEA-2012-04-27-0160","seattle-seahawks","2012-2nd-round-pick-47th-overall-bobby-wagner-new-york-jets-2012","S1_clean_multi_pick_split_plus_dedupe_candidate","3","2012 2nd round pick (47th overall, Bobby Wagner), 2012 5th round pick (154th overall, Korey Toomer) and 2012 7th round pick (232nd overall, Greg Scruggs)","2012 2nd round pick (47th overall, Bobby Wagner) || 2012 5th round pick (154th overall, Korey Toomer) and 2012 7th round pick (232nd overall, Greg Scruggs)","2012 2nd round pick (47th overall, Bobby Wagner) || 2012 5th round pick (154th overall, Korey Toomer) and 2012 7th round pick (232nd overall, Greg Scruggs)","remaining punct/mixed multi-pick pattern"
"8","manual","C4A_punct_or_mixed_remaining_review","","MIN-2013-0235","minnesota-vikings","2013-1st-round-pick-25th-overall-xavier-rhodes-2013-7th-round-pick-214th-overall","S1_clean_multi_pick_split_plus_dedupe_candidate","0","2013 1st round pick (25th overall, Xavier Rhodes), 2013 7th round pick (214th overall, Travis Bond) and 2014 3rd round pick (96th overall, Jerick McKinnon)","2013 1st round pick (25th overall, Xavier Rhodes) || 2013 7th round pick (214th overall, Travis Bond) and 2014 3rd round pick (96th overall, Jerick McKinnon)","2013 1st round pick (25th overall, Xavier Rhodes) || 2013 7th round pick (214th overall, Travis Bond) and 2014 3rd round pick (96th overall, Jerick McKinnon)","remaining punct/mixed multi-pick pattern"
"9","manual","C4A_punct_or_mixed_remaining_review","","ATL-2017-0271","atlanta-falcons","2017-3rd-round-pick-75th-overall-buffalo-bills-2017","S1_clean_multi_pick_split_plus_dedupe_candidate","3","2017 3rd round pick (75th overall, Duke Riley), 2017 5th round pick (149th overall, Damontae Kazee) and 2017 5th round pick (156th overall, Brian Hill)","2017 3rd round pick (75th overall, Duke Riley) || 2017 5th round pick (149th overall, Damontae Kazee) and 2017 5th round pick (156th overall, Brian Hill)","2017 3rd round pick (75th overall, Duke Riley) || 2017 5th round pick (149th overall, Damontae Kazee) and 2017 5th round pick (156th overall, Brian Hill)","remaining punct/mixed multi-pick pattern"
"10","manual","C4A_punct_or_mixed_remaining_review","","SEA-2024-04-27-0231","seattle-seahawks","2024-4th-round-pick-121st-overall-aj-barner-20-denver-broncos-2024","S1_clean_multi_pick_split_plus_dedupe_candidate","3","2024 4th round pick (121st overall, AJ Barner), 2024 5th round pick (136th overall, Nehemiah Pritchett) and 2024 6th round pick (207th overall, Michael Jerrell)","2024 4th round pick (121st overall, AJ Barner) || 2024 5th round pick (136th overall, Nehemiah Pritchett) and 2024 6th round pick (207th overall, Michael Jerrell)","2024 4th round pick (121st overall, AJ Barner) || 2024 5th round pick (136th overall, Nehemiah Pritchett) and 2024 6th round pick (207th overall, Michael Jerrell)","remaining punct/mixed multi-pick pattern"
