"ordinal","reviewClass","lane","sourceBucket","id","team","slug","reason","bundle","playerText","pickText","projectedAssetsToCreate","projectedNetAssetChange","warnings","errors"
"1","manual","DPP_manual_bundle_has_transaction_or_source_risks","B_probable_duplicate_pick_manual_patch","TB-1980-0065","tampa-bay-buccaneers","danny-buggs-1980-fourth-round-pick-probably-102-larry-flowers-washington-comm","bundle risks: explanatory_or_contingent","Danny Buggs 1980 fourth round pick (probably #102-Larry Flowers)","Danny Buggs","1980 fourth round pick (probably #102-Larry Flowers)","0","0","",""
"2","manual","DPP_manual_player_text_not_strict_name","B_probable_duplicate_pick_manual_patch","KC-1988-0164","tampa-bay-buccaneers","steve-deberg-tampa-bay-buccaneers-1988","player text risks: player_text_not_name_like","Mark Robinson (a) 1988 fourth round pick (#86-John Bruhin)","Mark Robinson (a)","1988 fourth round pick (#86-John Bruhin)","0","0","",""
"3","manual","DPP_manual_bundle_has_transaction_or_source_risks","B_probable_duplicate_pick_manual_patch","TB-2013-0225","tampa-bay-buccaneers","jeff-demps-new-england-patriots-2013","bundle risks: explanatory_or_contingent|transaction_verb_leak","Jeff Demps and 2013 7th round pick (229th overall subsequently traded, Everett Dawkins)","Jeff Demps","2013 7th round pick (229th overall subsequently traded, Everett Dawkins)","0","0","",""
"4","manual","DPP_manual_not_exactly_one_parseable_current_bundle","B_probable_duplicate_pick_manual_patch","ATL-2023-0296","atlanta-falcons","kentavius-street-philadelphia-eagles-2023","expected exactly one parseable current player+pick bundle, found 0","","","","0","0","",""
"5","manual","DPP_manual_player_text_not_strict_name","B_probable_duplicate_pick_manual_patch","PIT-2025-0390","dallas-cowboys","2026-3rd-round-pick-76th-overall-drew-allar-dallas-cowboys-2025","player text risks: player_text_not_name_like","George Pickens and a 2027 6th round pick","George Pickens and a","2027 6th round pick","0","0","",""
"6","manual","DPP_manual_not_exactly_one_parseable_current_bundle","D_player_plus_pick_bundle_needs_split","DET-1957-0051","detroit-lions","tobin-rote-green-bay-packers-1957-07-25","expected exactly one parseable current player+pick bundle, found 0","","","","0","0","",""
"7","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","RAM-1958-0073","los-angeles-rams","kline-gilbert-later-changed-to-1959-fourth-round-pick-44-john-tracey-when-gilber","bundle risks: explanatory_or_contingent","Kline Gilbert (later changed to 1959 fourth round pick (#44-John Tracey) when Gilbert retired)","Kline Gilbert (later changed to","1959 fourth round pick (#44-John Tracey) when Gilbert retired)","0","0","",""
"8","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","DET-1959-0064","green-bay-packers","oliver-spencer-ollie-spencer-green-bay-packers-1959-07-28","bundle risks: explanatory_or_contingent","Ken Russell (later replaced with 1960 fifth round pick (#51-Dale Hackbart) after Russell left Packers camp)","Ken Russell (later replaced with","1960 fifth round pick (#51-Dale Hackbart) after Russell left Packers camp)","0","0","",""
"9","manual","DPP_manual_not_exactly_one_parseable_current_bundle","D_player_plus_pick_bundle_needs_split","TB-1976-0013","arizona-cardinals","pete-barnes-arizona-st-louis-cardinals-1976","expected exactly one parseable current player+pick bundle, found 0","","","","0","0","",""
"10","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","RAI-1983-0184","tennessee-titans","1984-eleventh-round-pick-282-gardner-williams-houston-oilers-tennessee-titans-19","bundle risks: explanatory_or_contingent","Tim Wilson (b. 1954-01-14) (later replaced by 1984 ninth round pick (#252-Mike Russell))","Tim Wilson (b. 1954-01-14) (later replaced by","1984 ninth round pick (#252-Mike Russell))","0","0","",""
"11","manual","DPP_manual_not_exactly_one_parseable_current_bundle","D_player_plus_pick_bundle_needs_split","MIN-1984-0149","minnesota-vikings","billy-shields-later-changed-to-1985-third-round-pick-66-tim-long-via-contingency","expected exactly one parseable current player+pick bundle, found 2","","","","0","0","",""
"12","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","BUF-1985-0214","buffalo-bills","chip-banks-replaced-with-1985-first-round-pick-7-ken-ruettgers-when-banks-did-no","bundle risks: explanatory_or_contingent","Chip Banks (replaced with 1985 first round pick (#7-Ken Ruettgers) when Banks did not report)","Chip Banks (replaced with","1985 first round pick (#7-Ken Ruettgers) when Banks did not report)","0","0","",""
"13","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","SF-1988-0255","los-angeles-chargers","wes-chandler-los-angeles-san-diego-chargers-1988","bundle risks: explanatory_or_contingent","Fred Quillan (later changed to 1989 seventh round pick (#195-Terrance Jones))","Fred Quillan (later changed to","1989 seventh round pick (#195-Terrance Jones))","0","0","",""
"14","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","DEN-1994-04-20-0239","denver-broncos","ted-washington-and-1994-3rd-round-pick-99th-overall-subsequently-traded-alai-kalaniuvalu-s","bundle risks: explanatory_or_contingent|transaction_verb_leak","Ted Washington and 1994 3rd round pick (99th overall subsequently traded, Alai Kalaniuvalu)","Ted Washington","1994 3rd round pick (99th overall subsequently traded, Alai Kalaniuvalu)","0","0","",""
"15","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","KC-1995-0182","kansas-city-chiefs","victor-bailey-and-1995-4th-round-pick-1-philadelphia-eagles-1995","bundle risks: explanatory_or_contingent|transaction_verb_leak","Victor Bailey and 1995 4th round pick (112th overall subsequently traded, Dave Wohlabaugh)","Victor Bailey","1995 4th round pick (112th overall subsequently traded, Dave Wohlabaugh)","0","0","",""
