"ordinal","reviewClass","lane","reason","id","team","slug","assetIndex","before","parts","roles","assetRisks","duplicateAgainstExisting"
"1","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","SF-1976-0130","san-francisco-49ers","bruce-elia-tampa-bay-buccaneers-1976","3","Bruce Elia Willie McGee 1976 second round pick (#57-Eddie Lewis (a))","Bruce Elia Willie McGee 1976 second round pick (#57-Eddie Lewis (a))","pickish_manual::Bruce Elia Willie McGee 1976 second round pick (#57-Eddie Lewis (a))","",""
"2","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","MIA-1977-0083","miami-dolphins","mike-current-buccaneers-1977","3","Mike Current 1978 fifth round pick (possibly #111-Ted Burgmeier)","Mike Current 1978 fifth round pick (possibly #111-Ted Burgmeier)","pickish_manual::Mike Current 1978 fifth round pick (possibly #111-Ted Burgmeier)","",""
"3","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","RAI-1983-0185","tampa-bay-buccaneers","charley-hannah-tampa-bay-buccaneers-1983","2","Dave Browning 1984 fourth round pick (#112-Ron Heller (Ramon))","Dave Browning 1984 fourth round pick (#112-Ron Heller (Ramon))","pickish_manual::Dave Browning 1984 fourth round pick (#112-Ron Heller (Ramon))","",""
"4","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","KC-1988-0164","tampa-bay-buccaneers","steve-deberg-tampa-bay-buccaneers-1988","3","Mark Robinson (a) 1988 fourth round pick (#86-John Bruhin)","Mark Robinson (a) 1988 fourth round pick (#86-John Bruhin)","pickish_manual::Mark Robinson (a) 1988 fourth round pick (#86-John Bruhin)","",""
"5","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","SEA-1988-05-04-0065","tampa-bay-buccaneers","ron-heller-ramon-tampa-bay-buccaneers-1988","2","Randy Edwards 1989 sixth round pick (#154-Derrick Little)","Randy Edwards 1989 sixth round pick (#154-Derrick Little)","pickish_manual::Randy Edwards 1989 sixth round pick (#154-Derrick Little)","",""
"6","manual","D3Z_other_player_pick_manual_review","no strict player-plus-pick split pattern","TB-1992-0148","tampa-bay-buccaneers","garry-lewis-1993-eighth-round-pick-224-daron-alcorn-pick-added-at-later-date","0","Garry Lewis 1993 eighth round pick (#224-Daron Alcorn)","Garry Lewis 1993 eighth round pick (#224-Daron Alcorn)","pickish_manual::Garry Lewis 1993 eighth round pick (#224-Daron Alcorn)","",""
"7","candidate_warning","D3A_and_clean_player_plus_clean_pick_candidate","and split yields one clean player and clean pick part(s); proposed part already exists elsewhere in bucket","TB-2004-0183","dallas-cowboys","2004-7th-round-pick-206th-overall-dallas-cowboys-2004","3","Darian Barnes and 2004 7th round pick (216th overall, Patrick Crayton)","Darian Barnes || 2004 7th round pick (216th overall, Patrick Crayton)","clean_player::Darian Barnes || clean_pick::2004 7th round pick (216th overall, Patrick Crayton)","","Darian Barnes"
"8","candidate_warning","D3A_and_clean_player_plus_clean_pick_candidate","and split yields one clean player and clean pick part(s); proposed part already exists elsewhere in bucket","KC-2010-0228","tampa-bay-buccaneers","2011-5th-round-pick-135th-overall-tampa-bay-buccaneers-2010","0","Alex Magee and 2011 6th round pick (187th overall, Allen Bradford)","Alex Magee || 2011 6th round pick (187th overall, Allen Bradford)","clean_player::Alex Magee || clean_pick::2011 6th round pick (187th overall, Allen Bradford)","","Alex Magee"
"9","candidate_warning","D3A_and_clean_player_plus_clean_pick_candidate","and split yields one clean player and clean pick part(s); proposed part already exists elsewhere in bucket","TB-2012-0221","new-england-patriots","2013-4th-round-pick-126th-overall-new-england-patriots-2012","3","Aqib Talib and 2013 7th round pick (226th overall, Michael Buchanan)","Aqib Talib || 2013 7th round pick (226th overall, Michael Buchanan)","clean_player::Aqib Talib || clean_pick::2013 7th round pick (226th overall, Michael Buchanan)","","Aqib Talib"
"10","candidate_warning","D3A_and_clean_player_plus_clean_pick_candidate","and split yields one clean player and clean pick part(s); proposed part already exists elsewhere in bucket","TB-2013-0222","philadelphia-eagles","2013-6th-round-pick-196th-overall-subsequently-traded-philadelphia-eagles-2013","3","Arrelious Benn and 2013 7th round pick (218th overall, Jordan Poyer)","Arrelious Benn || 2013 7th round pick (218th overall, Jordan Poyer)","clean_player::Arrelious Benn || clean_pick::2013 7th round pick (218th overall, Jordan Poyer)","","Arrelious Benn"
"11","candidate_warning","D3A_and_clean_player_plus_clean_pick_candidate","and split yields one clean player and clean pick part(s); proposed part already exists elsewhere in bucket","TB-2014-0231","new-england-patriots","logan-mankins-new-england-patriots-2014","3","Tim Wright and 2015 4th round pick (101st overall, Trey Flowers)","Tim Wright || 2015 4th round pick (101st overall, Trey Flowers)","clean_player::Tim Wright || clean_pick::2015 4th round pick (101st overall, Trey Flowers)","","Tim Wright"
