"ordinal","reviewClass","lane","sourceBucket","id","team","slug","reason","removeBundleTexts","keepStandaloneTexts","warnings","errors"
"1","manual","S1_manual_not_enough_clean_single_pick_assets","B_probable_duplicate_pick_manual_patch","IND-1974-0170","new-orleans-saints","tom-drougas-new-orleans-saints-1974","expected at least two clean single pick assets, found 1","","","",""
"2","manual","S1_manual_not_enough_clean_single_pick_assets","B_probable_duplicate_pick_manual_patch","SF-1995-0288","san-francisco-49ers","1995-1st-round-pick-10th-overall-j-j-stokes-traded-1996-1st-round-p-cleveland-browns-1995","expected at least two clean single pick assets, found 1","","","",""
"3","manual","S1_manual_not_enough_clean_single_pick_assets","B_probable_duplicate_pick_manual_patch","TB-1995-0155","tampa-bay-buccaneers","1995-1st-round-pick-12th-overall-philadelphia-eagles-1995","expected at least two clean single pick assets, found 0","","","",""
"4","candidate_warning","S1B_warning_bundle_has_risk_flags","B_probable_duplicate_pick_manual_patch","PIT-1998-0316","atlanta-falcons","1998-5th-round-pick-137th-overall-jason-simmons-atlanta-falcons-1998","bundle has risks: explanatory_or_contingent","1998 7th round pick (199th overall, Ephraim Salaam), 1998 7th round pick (203rd overall, Henry Slay) and 1998 7th round pick (215th overall subsequently traded, Ryan Thelwell)","1998 7th round pick (199th overall, Ephraim Salaam) || 1998 7th round pick (203rd overall, Henry Slay)","",""
"5","manual","S1_manual_not_enough_clean_single_pick_assets","B_probable_duplicate_pick_manual_patch","SEA-1999-04-17-0103","seattle-seahawks","1999-1st-round-pick-20th-overall-subsequently-tra-new-england-patriots-1999","expected at least two clean single pick assets, found 1","","","",""
"6","manual","S1_manual_not_exactly_one_bundle","B_probable_duplicate_pick_manual_patch","ATL-2001-0227","los-angeles-chargers","2001-1st-round-pick-1st-overall-los-angeles-chargers-2001","expected exactly one bundle candidate, found 2","","","",""
"7","candidate_warning","S1B_warning_bundle_has_risk_flags","B_probable_duplicate_pick_manual_patch","ATL-2004-0237","indianapolis-colts","2004-1st-round-pick-29th-overall-indianapolis-colts-2004","bundle has risks: explanatory_or_contingent","2004 2nd round pick (38th overall subsequently traded, Ricardo Colclough), 2004 3rd round pick (69th overall, Gilbert Gardner) and 2004 4th round pick (125th overall, Jason David)","2004 3rd round pick (69th overall, Gilbert Gardner) || 2004 4th round pick (125th overall, Jason David)","",""
"8","candidate_warning","S1B_warning_bundle_has_risk_flags","B_probable_duplicate_pick_manual_patch","SEA-2005-04-23-0125","carolina-panthers","2005-2nd-round-pick-45th-overall-lofa-tatupu-carolina-panthers-2005","bundle has risks: explanatory_or_contingent","2005 2nd round pick (54th overall, Eric Shelton), 2005 4th round pick (121st overall, Stefan Lefors) and 2005 4th round pick (126th overall subsequently traded, Todd Herremans)","2005 2nd round pick (54th overall, Eric Shelton) || 2005 4th round pick (121st overall, Stefan Lefors)","",""
"9","candidate_warning","S1B_warning_bundle_has_risk_flags","B_probable_duplicate_pick_manual_patch","ATL-2006-0243","green-bay-packers","2006-2nd-round-pick-37th-overall-green-bay-packers-2006","bundle has risks: explanatory_or_contingent","2006 2nd round pick (47th overall, Daryn Colledge), 2006 3rd round pick (93rd overall subsequently traded, Dominique Byrd) and 2006 5th round pick (148th overall, Ingle Martin)","2006 2nd round pick (47th overall, Daryn Colledge) || 2006 5th round pick (148th overall, Ingle Martin)","",""
"10","candidate_warning","S1B_warning_bundle_has_risk_flags","B_probable_duplicate_pick_manual_patch","JAX-2007-0034","atlanta-falcons","2007-5th-round-pick-149th-overall-atlanta-falcons-2007","bundle has risks: explanatory_or_contingent","2007 6th round pick (195th overall subsequently traded, Deon Anderson), 2007 6th round pick (198th overall, Doug Datish), 2007 6th round pick (203rd overall, Daren Stone)","2007 6th round pick (198th overall, Doug Datish) || 2007 6th round pick (203rd overall, Daren Stone)","",""
