"ordinal","reviewClass","lane","sourceBucket","id","team","slug","reason","exactDuplicateRemovalCount","duplicateGroups","reportAssets","warnings","errors"
"1","manual","S5_manual_plain_special_asset_no_duplicate_action","B_probable_duplicate_pick_manual_patch","WAS-1966-0106","dallas-cowboys","undisclosed-consideration-dallas-cowboys-1966","plain special asset appears current but no duplicate action is available","0","","player matches=1 flags=none :: Jim Steffen || pick matches=1 flags=none :: 1967 fifth round pick (#119-Willie Parker (a)) || pick matches=1 flags=considerations :: future considerations (Jim Steffen, 1967 fifth round pick (#119-Willie Parker (a)) on 1966-08-30)","",""
"2","manual","S5_manual_transaction_or_sentence_context","B_probable_duplicate_pick_manual_patch","LAC-1975-0128","los-angeles-chargers","unspecified-consideration-chicago-bears-1975-lac-1975-0128","S5 report asset has transaction/source sentence context","0","","pick matches=1 flags=conditional|alternative_or_slash|transaction_verb_leak :: 1977 seventh round pick (or sixth round pick if not owed to Eagles in Mark Nordquist trade) unspecified pick || pick matches=1 flags=conditional|alternative_or_slash|transaction_verb_leak :: 1977 seventh round pick (or sixth round pick if not owed to Eagles in Mark Nordquist trade) (?-?)","",""
"3","manual","S5_manual_plain_special_asset_no_duplicate_action","B_probable_duplicate_pick_manual_patch","TB-1976-0003","indianapolis-colts","mike-washington-indianapolis-colts-1976","plain special asset appears current but no duplicate action is available","0","","pick matches=1 flags=cash :: 1976 third round pick (#90-Ron Lee) cash || pick matches=1 flags=none :: 1976 third round pick (#90-Ron Lee) || other matches=1 flags=cash :: cash","",""
"4","manual","S5_manual_conditional_or_alternative_asset","B_probable_duplicate_pick_manual_patch","LAC-1985-0245","los-angeles-chargers","unspecified-consideration-minnesota-vikings-1985","conditional/or/slash asset requires manual source interpretation","0","","pick matches=1 flags=conditional :: 1986 conditional sixth round pick (if Muncie remains with Vikings for the 1985 season) conditional pick not exercised || pick matches=1 flags=conditional :: 1986 conditional sixth round pick (if Muncie remains with Vikings for the 1985 season) (not exercised)","",""
"5","manual","S5_manual_conditional_or_alternative_asset","E_ptbnl_historical_bundle_review","ARI-1949-0023","arizona-cardinals","cardinals-1949-09-21-new-york-giants-1950-third-round-pick-player-to-be-named-later-ray-mallouf","conditional/or/slash asset requires manual source interpretation","0","","pick matches=1 flags=ptbnl|alternative_or_slash :: 1950 third round pick (not disclosed) / player to be named later (?)","",""
"6","manual","S5_manual_conditional_or_alternative_asset","E_ptbnl_historical_bundle_review","NYG-1967-0108","cleveland-browns","undisclosed-consideration-cleveland-browns-1967","conditional/or/slash asset requires manual source interpretation","0","","player matches=1 flags=considerations :: undisclosed consideration || pick matches=1 flags=ptbnl|alternative_or_slash :: player to be named later or draft pick (?-?) || pick matches=1 flags=alternative_or_slash :: 1968 sixth round pick (#152-Nathan James / Nat James)","",""
"7","manual","S5_manual_conditional_or_alternative_asset","F_considerations_bundle_review","NYJ-1965-0022","new-york-jets","1966-fourth-round-pick-29-jim-waskiewicz-new-england-patriots-1965","conditional/or/slash asset requires manual source interpretation","0","","pick matches=1 flags=none :: 1966 fourth round pick (#29-Jim Waskiewicz) || pick matches=1 flags=considerations|alternative_or_slash :: future considerations (Jim Colclough / Jimmy Colclough on 1965-12-20) || pick matches=1 flags=considerations :: future considerations (high draft pick (1966 #29-Jim Waskiewicz) on 1965-12-20)","",""
"8","manual","S5_manual_plain_special_asset_no_duplicate_action","F_considerations_bundle_review","WAS-1966-0103","dallas-cowboys","brig-owens-dallas-cowboys-1966","plain special asset appears current but no duplicate action is available","0","","pick matches=1 flags=none :: draft pick (undisclosed) || pick matches=1 flags=considerations :: future considerations (Jim Steffen, 1967 fifth round pick (#119-Willie Parker (a)) on 1966-08-30)","",""
"9","manual","S5_manual_conditional_or_alternative_asset","F_considerations_bundle_review","PIT-1977-0255","pittsburgh-steelers","future-considerations-draft-pick-undisclosed-overall-player-cleveland-browns-1977","conditional/or/slash asset requires manual source interpretation","0","","pick matches=1 flags=considerations|alternative_or_slash :: future considerations / draft pick (undisclosed overall/player)","",""
"10","manual","S5_manual_conditional_or_alternative_asset","F_considerations_bundle_review","MIN-1978-0130","minnesota-vikings","draft-pick-future-considerations-new-england-patriots-1978","conditional/or/slash asset requires manual source interpretation","0","","pick matches=1 flags=considerations|alternative_or_slash :: draft pick (?-?) / future considerations (?)","",""
